[2026-06-06 00:00:04.915] [INFO ] [METRICS] TickAvg: 3.142µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:09.915] [INFO ] [METRICS] TickAvg: 3.139µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:14.914] [INFO ] [METRICS] TickAvg: 3.137µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:19.915] [INFO ] [METRICS] TickAvg: 3.144µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:24.915] [INFO ] [METRICS] TickAvg: 3.141µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:29.915] [INFO ] [METRICS] TickAvg: 3.138µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:34.914] [INFO ] [METRICS] TickAvg: 3.136µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:39.915] [INFO ] [METRICS] TickAvg: 3.133µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:44.915] [INFO ] [METRICS] TickAvg: 3.13µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:49.915] [INFO ] [METRICS] TickAvg: 3.128µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:54.915] [INFO ] [METRICS] TickAvg: 3.125µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:00:59.915] [INFO ] [METRICS] TickAvg: 3.122µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:04.914] [INFO ] [METRICS] TickAvg: 3.127µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:09.915] [INFO ] [METRICS] TickAvg: 3.124µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:14.915] [INFO ] [METRICS] TickAvg: 3.127µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:19.914] [INFO ] [METRICS] TickAvg: 3.139µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:24.914] [INFO ] [METRICS] TickAvg: 3.141µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:29.914] [INFO ] [METRICS] TickAvg: 3.138µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:34.914] [INFO ] [METRICS] TickAvg: 3.135µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:39.914] [INFO ] [METRICS] TickAvg: 3.133µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:44.914] [INFO ] [METRICS] TickAvg: 3.13µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:49.914] [INFO ] [METRICS] TickAvg: 3.127µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:54.914] [INFO ] [METRICS] TickAvg: 3.125µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:01:59.915] [INFO ] [METRICS] TickAvg: 3.122µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:04.914] [INFO ] [METRICS] TickAvg: 3.124µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:09.914] [INFO ] [METRICS] TickAvg: 3.122µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:14.959] [INFO ] [METRICS] TickAvg: 3.119µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:14.961] [ERROR] [SNAPSHOT] Failed to write snapshot: encode snapshot: gob: type threat.ThreatTable has no exported fields
[2026-06-06 00:02:19.915] [INFO ] [METRICS] TickAvg: 3.116µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:24.914] [INFO ] [METRICS] TickAvg: 3.119µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:29.914] [INFO ] [METRICS] TickAvg: 3.119µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:34.914] [INFO ] [METRICS] TickAvg: 3.116µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:39.914] [INFO ] [METRICS] TickAvg: 3.116µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:44.914] [INFO ] [METRICS] TickAvg: 3.118µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:49.914] [INFO ] [METRICS] TickAvg: 3.116µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:54.914] [INFO ] [METRICS] TickAvg: 3.12µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:02:59.914] [INFO ] [METRICS] TickAvg: 3.118µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:04.914] [INFO ] [METRICS] TickAvg: 3.117µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:09.915] [INFO ] [METRICS] TickAvg: 3.115µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:14.914] [INFO ] [METRICS] TickAvg: 3.112µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:19.914] [INFO ] [METRICS] TickAvg: 3.11µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:24.914] [INFO ] [METRICS] TickAvg: 3.111µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:29.914] [INFO ] [METRICS] TickAvg: 3.108µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:34.914] [INFO ] [METRICS] TickAvg: 3.11µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:39.914] [INFO ] [METRICS] TickAvg: 3.107µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:03:44.915] [INFO ] [METRICS] TickAvg: 3.105µs | HeapAlloc: 2 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
